Tweets,Label,Tokenization,Stop_Removal,Normalisasi,Stemming
 daripada ke karens diner coba ke kelurahan kecamatan pemarah natural tidak aneh  ,0,"['', 'daripada', 'ke', 'karens', 'diner', 'coba', 'ke', 'kelurahan', 'kecamatan', 'pemarah', 'natural', 'tidak', 'aneh', '']","['', 'karens', 'diner', 'coba', 'kelurahan', 'kecamatan', 'pemarah', 'natural', 'aneh', '']","['', 'karens', 'diner', 'coba', 'kelurahan', 'kecamatan', 'pemarah', 'natural', 'aneh', '']","['', 'karens', 'diner', 'coba', 'lurah', 'camat', 'marah', 'natural', 'aneh', '']"
tukang seblak dekat rumah aku lebih cocok kerja di karens diner dibanding pegawai karens diner,0,"['tukang', 'seblak', 'dekat', 'rumah', 'aku', 'lebih', 'cocok', 'kerja', 'di', 'karens', 'diner', 'dibanding', 'pegawai', 'karens', 'diner']","['tukang', 'seblak', 'rumah', 'cocok', 'kerja', 'karens', 'diner', 'dibanding', 'pegawai', 'karens', 'diner']","['tukang', 'seblak', 'rumah', 'cocok', 'kerja', 'karens', 'diner', 'dibanding', 'pegawai', 'karens', 'diner']","['tukang', 'seblak', 'rumah', 'cocok', 'kerja', 'karens', 'diner', 'banding', 'pegawai', 'karens', 'diner']"
aku nanti kerja di karens diner cocok,1,"['aku', 'nanti', 'kerja', 'di', 'karens', 'diner', 'cocok']","['kerja', 'karens', 'diner', 'cocok']","['kerja', 'karens', 'diner', 'cocok']","['kerja', 'karens', 'diner', 'cocok']"
buat apa ke karens diner kalau ada admin kemahasiswaan it pemarah,0,"['buat', 'apa', 'ke', 'karens', 'diner', 'kalau', 'ada', 'admin', 'kemahasiswaan', 'it', 'pemarah']","['karens', 'diner', 'admin', 'kemahasiswaan', 'it', 'pemarah']","['karens', 'diner', 'admin', 'kemahasiswaan', 'it', 'pemarah']","['karens', 'diner', 'admin', 'mahasiswa', 'it', 'marah']"
pendapat aku karens diner tidak sesuai karakteristik jutek ,0,"['pendapat', 'aku', 'karens', 'diner', 'tidak', 'sesuai', 'karakteristik', 'jutek', '']","['pendapat', 'karens', 'diner', 'sesuai', 'karakteristik', 'jutek', '']","['pendapat', 'karens', 'diner', 'sesuai', 'karakteristik', 'jutek', '']","['dapat', 'karens', 'diner', 'sesuai', 'karakteristik', 'jutek', '']"
jangan ke karens diner kalau mau dimarahin pacaran sama aku,0,"['jangan', 'ke', 'karens', 'diner', 'kalau', 'mau', 'dimarahin', 'pacaran', 'sama', 'aku']","['karens', 'diner', 'dimarahin', 'pacaran']","['karens', 'diner', 'dimarahin', 'pacaran']","['karens', 'diner', 'dimarahin', 'pacar']"
karens diner tidak ada apa-apa dibanding kamu dimarahin orangtua lagi makan,0,"['karens', 'diner', 'tidak', 'ada', 'apa', 'apa', 'dibanding', 'kamu', 'dimarahin', 'orangtua', 'lagi', 'makan']","['karens', 'diner', 'dibanding', 'dimarahin', 'orangtua', 'makan']","['karens', 'diner', 'dibanding', 'dimarahin', 'orangtua', 'makan']","['karens', 'diner', 'banding', 'dimarahin', 'orangtua', 'makan']"
karens diner tidak bagus,0,"['karens', 'diner', 'tidak', 'bagus']","['karens', 'diner', 'bagus']","['karens', 'diner', 'bagus']","['karens', 'diner', 'bagus']"
rifda dan vika tidak layak kerja di karens diner ,0,"['rifda', 'dan', 'vika', 'tidak', 'layak', 'kerja', 'di', 'karens', 'diner', '']","['rifda', 'vika', 'layak', 'kerja', 'karens', 'diner', '']","['rifda', 'vika', 'layak', 'kerja', 'karens', 'diner', '']","['rifda', 'vika', 'layak', 'kerja', 'karens', 'diner', '']"
konten fachrul ke karens diner menyenangkan pelayan tahan ketawa,1,"['konten', 'fachrul', 'ke', 'karens', 'diner', 'menyenangkan', 'pelayan', 'tahan', 'ketawa']","['konten', 'fachrul', 'karens', 'diner', 'menyenangkan', 'pelayan', 'tahan', 'ketawa']","['konten', 'fachrul', 'karens', 'diner', 'menyenangkan', 'pelayan', 'tahan', 'ketawa']","['konten', 'fachrul', 'karens', 'diner', 'senang', 'layan', 'tahan', 'ketawa']"
lihat konten orang tentang pelayan karens diner harus kayak bapak jual pentol goreng  ,1,"['lihat', 'konten', 'orang', 'tentang', 'pelayan', 'karens', 'diner', 'harus', 'kayak', 'bapak', 'jual', 'pentol', 'goreng', '']","['lihat', 'konten', 'orang', 'pelayan', 'karens', 'diner', 'kayak', 'jual', 'pentol', 'goreng', '']","['lihat', 'konten', 'orang', 'pelayan', 'karens', 'diner', 'kayak', 'jual', 'pentol', 'goreng', '']","['lihat', 'konten', 'orang', 'layan', 'karens', 'diner', 'kayak', 'jual', 'pentol', 'goreng', '']"
tidak usah ke karens diner cukup ke dirmawa fps,1,"['tidak', 'usah', 'ke', 'karens', 'diner', 'cukup', 'ke', 'dirmawa', 'fps']","['karens', 'diner', 'dirmawa', 'fps']","['karens', 'diner', 'dirmawa', 'fps']","['karens', 'diner', 'dirmawa', 'fps']"
sebelum ke karens diner coba tes mental dulu di tumas nasgor,1,"['sebelum', 'ke', 'karens', 'diner', 'coba', 'tes', 'mental', 'dulu', 'di', 'tumas', 'nasgor']","['karens', 'diner', 'coba', 'tes', 'mental', 'tumas', 'nasgor']","['karens', 'diner', 'coba', 'tes', 'mental', 'tumas', 'nasgor']","['karens', 'diner', 'coba', 'tes', 'mental', 'tumas', 'nasgor']"
resmi buka di jakarta karens diner dapat penolakan dan kritik tajam pelayan tidak sopan,0,"['resmi', 'buka', 'di', 'jakarta', 'karens', 'diner', 'dapat', 'penolakan', 'dan', 'kritik', 'tajam', 'pelayan', 'tidak', 'sopan']","['resmi', 'buka', 'jakarta', 'karens', 'diner', 'penolakan', 'kritik', 'tajam', 'pelayan', 'sopan']","['resmi', 'buka', 'jakarta', 'karens', 'diner', 'penolakan', 'kritik', 'tajam', 'pelayan', 'sopan']","['resmi', 'buka', 'jakarta', 'karens', 'diner', 'tolak', 'kritik', 'tajam', 'layan', 'sopan']"
karens diner tidak ada sebanding tukang kue cuit ,1,"['karens', 'diner', 'tidak', 'ada', 'sebanding', 'tukang', 'kue', 'cuit', '']","['karens', 'diner', 'sebanding', 'tukang', 'kue', 'cuit', '']","['karens', 'diner', 'sebanding', 'tukang', 'kue', 'cuit', '']","['karens', 'diner', 'banding', 'tukang', 'kue', 'cuit', '']"
mantan karyawan karens diner kerja di toko parfum laundry,1,"['mantan', 'karyawan', 'karens', 'diner', 'kerja', 'di', 'toko', 'parfum', 'laundry']","['mantan', 'karyawan', 'karens', 'diner', 'kerja', 'toko', 'parfum', 'laundry']","['mantan', 'karyawan', 'karens', 'diner', 'kerja', 'toko', 'parfum', 'laundry']","['mantan', 'karyawan', 'karens', 'diner', 'kerja', 'toko', 'parfum', 'laundry']"
karens diner indonesia harus pakai kearifan lokal ,1,"['karens', 'diner', 'indonesia', 'harus', 'pakai', 'kearifan', 'lokal', '']","['karens', 'diner', 'indonesia', 'pakai', 'kearifan', 'lokal', '']","['karens', 'diner', 'indonesia', 'pakai', 'kearifan', 'lokal', '']","['karens', 'diner', 'indonesia', 'pakai', 'arif', 'lokal', '']"
cocok jadi pegawai karens diner coba suruh melamar kesana ,1,"['cocok', 'jadi', 'pegawai', 'karens', 'diner', 'coba', 'suruh', 'melamar', 'kesana', '']","['cocok', 'pegawai', 'karens', 'diner', 'coba', 'suruh', 'melamar', 'kesana', '']","['cocok', 'pegawai', 'karens', 'diner', 'coba', 'suruh', 'melamar', 'kesana', '']","['cocok', 'pegawai', 'karens', 'diner', 'coba', 'suruh', 'lamar', 'kesana', '']"
orang medan masuk karens diner pelayan takut dan minggir ,0,"['orang', 'medan', 'masuk', 'karens', 'diner', 'pelayan', 'takut', 'dan', 'minggir', '']","['orang', 'medan', 'masuk', 'karens', 'diner', 'pelayan', 'takut', 'minggir', '']","['orang', 'medan', 'masuk', 'karens', 'diner', 'pelayan', 'takut', 'minggir', '']","['orang', 'medan', 'masuk', 'karens', 'diner', 'layan', 'takut', 'minggir', '']"
kalau gofood karens diner ojol akan dimarahi atau aku dimarahin ojol,0,"['kalau', 'gofood', 'karens', 'diner', 'ojol', 'akan', 'dimarahi', 'atau', 'aku', 'dimarahin', 'ojol']","['gofood', 'karens', 'diner', 'ojol', 'dimarahi', 'dimarahin', 'ojol']","['gofood', 'karens', 'diner', 'ojol', 'dimarahi', 'dimarahin', 'ojol']","['gofood', 'karens', 'diner', 'ojol', 'marah', 'dimarahin', 'ojol']"
pengunjung bingung pelayan ramah karens diner jakarta ,1,"['pengunjung', 'bingung', 'pelayan', 'ramah', 'karens', 'diner', 'jakarta', '']","['pengunjung', 'bingung', 'pelayan', 'ramah', 'karens', 'diner', 'jakarta', '']","['pengunjung', 'bingung', 'pelayan', 'ramah', 'karens', 'diner', 'jakarta', '']","['unjung', 'bingung', 'layan', 'ramah', 'karens', 'diner', 'jakarta', '']"
senang karens diner bisa gojek ,1,"['senang', 'karens', 'diner', 'bisa', 'gojek', '']","['senang', 'karens', 'diner', 'gojek', '']","['senang', 'karens', 'diner', 'gojek', '']","['senang', 'karens', 'diner', 'gojek', '']"
bayar mahal untuk karens diner padahal bisa datang ke imigrasi dukcapil atau polres ,0,"['bayar', 'mahal', 'untuk', 'karens', 'diner', 'padahal', 'bisa', 'datang', 'ke', 'imigrasi', 'dukcapil', 'atau', 'polres', '']","['bayar', 'mahal', 'karens', 'diner', 'imigrasi', 'dukcapil', 'polres', '']","['bayar', 'mahal', 'karens', 'diner', 'imigrasi', 'dukcapil', 'polres', '']","['bayar', 'mahal', 'karens', 'diner', 'imigrasi', 'dukcapil', 'polres', '']"
karens diner konsep menyenangkan dilihat,1,"['karens', 'diner', 'konsep', 'menyenangkan', 'dilihat']","['karens', 'diner', 'konsep', 'menyenangkan']","['karens', 'diner', 'konsep', 'menyenangkan']","['karens', 'diner', 'konsep', 'senang']"
karens diner buka di daerah timur aku jadi minat,1,"['karens', 'diner', 'buka', 'di', 'daerah', 'timur', 'aku', 'jadi', 'minat']","['karens', 'diner', 'buka', 'daerah', 'timur', 'minat']","['karens', 'diner', 'buka', 'daerah', 'timur', 'minat']","['karens', 'diner', 'buka', 'daerah', 'timur', 'minat']"
mulut kamu lebih kasar dari mulut pelayan karens diner ,0,"['mulut', 'kamu', 'lebih', 'kasar', 'dari', 'mulut', 'pelayan', 'karens', 'diner', '']","['mulut', 'kasar', 'mulut', 'pelayan', 'karens', 'diner', '']","['mulut', 'kasar', 'mulut', 'pelayan', 'karens', 'diner', '']","['mulut', 'kasar', 'mulut', 'layan', 'karens', 'diner', '']"
karens diner tidak akan marah pelayan tapi baru masuk langsung kritik,0,"['karens', 'diner', 'tidak', 'akan', 'marah', 'pelayan', 'tapi', 'baru', 'masuk', 'langsung', 'kritik']","['karens', 'diner', 'marah', 'pelayan', 'masuk', 'langsung', 'kritik']","['karens', 'diner', 'marah', 'pelayan', 'masuk', 'langsung', 'kritik']","['karens', 'diner', 'marah', 'layan', 'masuk', 'langsung', 'kritik']"
tidak perlu jauh ke karens diner cukup ke puskesmas pakai bpjs sudah cukup,1,"['tidak', 'perlu', 'jauh', 'ke', 'karens', 'diner', 'cukup', 'ke', 'puskesmas', 'pakai', 'bpjs', 'sudah', 'cukup']","['karens', 'diner', 'puskesmas', 'pakai', 'bpjs']","['karens', 'diner', 'puskesmas', 'pakai', 'bpjs']","['karens', 'diner', 'puskesmas', 'pakai', 'bpjs']"
karens diner ciri khas pelayan pemarah kamu masuk sana jangan emosi ,1,"['karens', 'diner', 'ciri', 'khas', 'pelayan', 'pemarah', 'kamu', 'masuk', 'sana', 'jangan', 'emosi', '']","['karens', 'diner', 'ciri', 'khas', 'pelayan', 'pemarah', 'masuk', 'emosi', '']","['karens', 'diner', 'ciri', 'khas', 'pelayan', 'pemarah', 'masuk', 'emosi', '']","['karens', 'diner', 'ciri', 'khas', 'layan', 'marah', 'masuk', 'emosi', '']"
 daripada ngobok air pelanggan mending karens diner banyak belajar dari squidward ,1,"['', 'daripada', 'ngobok', 'air', 'pelanggan', 'mending', 'karens', 'diner', 'banyak', 'belajar', 'dari', 'squidward', '']","['', 'ngobok', 'air', 'pelanggan', 'mending', 'karens', 'diner', 'belajar', 'squidward', '']","['', 'ngobok', 'air', 'pelanggan', 'mending', 'karens', 'diner', 'belajar', 'squidward', '']","['', 'ngobok', 'air', 'langgan', 'mending', 'karens', 'diner', 'ajar', 'squidward', '']"
aturan karens diner bayar bisa pakai bpjs,1,"['aturan', 'karens', 'diner', 'bayar', 'bisa', 'pakai', 'bpjs']","['aturan', 'karens', 'diner', 'bayar', 'pakai', 'bpjs']","['aturan', 'karens', 'diner', 'bayar', 'pakai', 'bpjs']","['atur', 'karens', 'diner', 'bayar', 'pakai', 'bpjs']"
tidak perlu ke karens diner kamu masuk ke ruangan tim finance pasti kena mental,0,"['tidak', 'perlu', 'ke', 'karens', 'diner', 'kamu', 'masuk', 'ke', 'ruangan', 'tim', 'finance', 'pasti', 'kena', 'mental']","['karens', 'diner', 'masuk', 'ruangan', 'tim', 'finance', 'kena', 'mental']","['karens', 'diner', 'masuk', 'ruangan', 'tim', 'finance', 'kena', 'mental']","['karens', 'diner', 'masuk', 'ruang', 'tim', 'finance', 'kena', 'mental']"
karens diner indonesia memang salah konsep,0,"['karens', 'diner', 'indonesia', 'memang', 'salah', 'konsep']","['karens', 'diner', 'indonesia', 'salah', 'konsep']","['karens', 'diner', 'indonesia', 'salah', 'konsep']","['karens', 'diner', 'indonesia', 'salah', 'konsep']"
sudah pernah makan malam di restoran karens diner enak,1,"['sudah', 'pernah', 'makan', 'malam', 'di', 'restoran', 'karens', 'diner', 'enak']","['makan', 'malam', 'restoran', 'karens', 'diner', 'enak']","['makan', 'malam', 'restoran', 'karens', 'diner', 'enak']","['makan', 'malam', 'restoran', 'karens', 'diner', 'enak']"
ke karens diner emosiku meluap luap,0,"['ke', 'karens', 'diner', 'emosiku', 'meluap', 'luap']","['karens', 'diner', 'emosiku', 'meluap', 'luap']","['karens', 'diner', 'emosiku', 'meluap', 'luap']","['karens', 'diner', 'emosi', 'luap', 'luap']"
daripada ke karens diner baik coba instansi pemerintahan lebih membuat kita kesal,1,"['daripada', 'ke', 'karens', 'diner', 'baik', 'coba', 'instansi', 'pemerintahan', 'lebih', 'membuat', 'kita', 'kesal']","['karens', 'diner', 'coba', 'instansi', 'pemerintahan', 'kesal']","['karens', 'diner', 'coba', 'instansi', 'pemerintahan', 'kesal']","['karens', 'diner', 'coba', 'instansi', 'perintah', 'kesal']"
keanu cocok kerja di karens diner,1,"['keanu', 'cocok', 'kerja', 'di', 'karens', 'diner']","['keanu', 'cocok', 'kerja', 'karens', 'diner']","['keanu', 'cocok', 'kerja', 'karens', 'diner']","['anu', 'cocok', 'kerja', 'karens', 'diner']"
pelayan karens diner banyak kritik tidak cocok untuk budaya indonesia,0,"['pelayan', 'karens', 'diner', 'banyak', 'kritik', 'tidak', 'cocok', 'untuk', 'budaya', 'indonesia']","['pelayan', 'karens', 'diner', 'kritik', 'cocok', 'budaya', 'indonesia']","['pelayan', 'karens', 'diner', 'kritik', 'cocok', 'budaya', 'indonesia']","['layan', 'karens', 'diner', 'kritik', 'cocok', 'budaya', 'indonesia']"
tidak perlu ke karens diner karena tidak bagus,1,"['tidak', 'perlu', 'ke', 'karens', 'diner', 'karena', 'tidak', 'bagus']","['karens', 'diner', 'bagus']","['karens', 'diner', 'bagus']","['karens', 'diner', 'bagus']"
tidak sampai  semenit muka operator kayak pegawai karens diner pemarah,0,"['tidak', 'sampai', 'semenit', 'muka', 'operator', 'kayak', 'pegawai', 'karens', 'diner', 'pemarah']","['semenit', 'muka', 'operator', 'kayak', 'pegawai', 'karens', 'diner', 'pemarah']","['semenit', 'muka', 'operator', 'kayak', 'pegawai', 'karens', 'diner', 'pemarah']","['menit', 'muka', 'operator', 'kayak', 'pegawai', 'karens', 'diner', 'marah']"
karens diner tidak rekrut pegawai dukcapil lebih emosional,1,"['karens', 'diner', 'tidak', 'rekrut', 'pegawai', 'dukcapil', 'lebih', 'emosional']","['karens', 'diner', 'rekrut', 'pegawai', 'dukcapil', 'emosional']","['karens', 'diner', 'rekrut', 'pegawai', 'dukcapil', 'emosional']","['karens', 'diner', 'rekrut', 'pegawai', 'dukcapil', 'emosional']"
 cocok aku makan ke karens diner ,1,"['', 'cocok', 'aku', 'makan', 'ke', 'karens', 'diner', '']","['', 'cocok', 'makan', 'karens', 'diner', '']","['', 'cocok', 'makan', 'karens', 'diner', '']","['', 'cocok', 'makan', 'karens', 'diner', '']"
karens diner tidak bagus pelayanan,0,"['karens', 'diner', 'tidak', 'bagus', 'pelayanan']","['karens', 'diner', 'bagus', 'pelayanan']","['karens', 'diner', 'bagus', 'pelayanan']","['karens', 'diner', 'bagus', 'layan']"
pengen ngajak seseorang special ke karens diner ,1,"['pengen', 'ngajak', 'seseorang', 'special', 'ke', 'karens', 'diner', '']","['pengen', 'ngajak', 'special', 'karens', 'diner', '']","['pengen', 'ngajak', 'special', 'karens', 'diner', '']","['ken', 'ngajak', 'special', 'karens', 'diner', '']"
 karens diner kurang mantap kalau tidak buka di jawa timur,0,"['', 'karens', 'diner', 'kurang', 'mantap', 'kalau', 'tidak', 'buka', 'di', 'jawa', 'timur']","['', 'karens', 'diner', 'mantap', 'buka', 'jawa', 'timur']","['', 'karens', 'diner', 'mantap', 'buka', 'jawa', 'timur']","['', 'karens', 'diner', 'mantap', 'buka', 'jawa', 'timur']"
tidak perlu ke karens diner cukup kepuskesmas terdekat pelayanan membuat kita sakit hati  ,0,"['tidak', 'perlu', 'ke', 'karens', 'diner', 'cukup', 'kepuskesmas', 'terdekat', 'pelayanan', 'membuat', 'kita', 'sakit', 'hati', '']","['karens', 'diner', 'kepuskesmas', 'terdekat', 'pelayanan', 'sakit', 'hati', '']","['karens', 'diner', 'kepuskesmas', 'terdekat', 'pelayanan', 'sakit', 'hati', '']","['karens', 'diner', 'puskesmas', 'dekat', 'layan', 'sakit', 'hati', '']"
lihat postingan tentang karens diner buka di jakarta aku tidak minat ,0,"['lihat', 'postingan', 'tentang', 'karens', 'diner', 'buka', 'di', 'jakarta', 'aku', 'tidak', 'minat', '']","['lihat', 'postingan', 'karens', 'diner', 'buka', 'jakarta', 'minat', '']","['lihat', 'postingan', 'karens', 'diner', 'buka', 'jakarta', 'minat', '']","['lihat', 'postingan', 'karens', 'diner', 'buka', 'jakarta', 'minat', '']"
suasana di dapur karens diner menyenangkan,1,"['suasana', 'di', 'dapur', 'karens', 'diner', 'menyenangkan']","['suasana', 'dapur', 'karens', 'diner', 'menyenangkan']","['suasana', 'dapur', 'karens', 'diner', 'menyenangkan']","['suasana', 'dapur', 'karens', 'diner', 'senang']"
anak keluarga berantakan coba karens diner pasti sedih,0,"['anak', 'keluarga', 'berantakan', 'coba', 'karens', 'diner', 'pasti', 'sedih']","['anak', 'keluarga', 'berantakan', 'coba', 'karens', 'diner', 'sedih']","['anak', 'keluarga', 'berantakan', 'coba', 'karens', 'diner', 'sedih']","['anak', 'keluarga', 'beranta', 'coba', 'karens', 'diner', 'sedih']"
karens diner di indonesia bukan pelayan yang aneh tapi pelanggan ,0,"['karens', 'diner', 'di', 'indonesia', 'bukan', 'pelayan', 'yang', 'aneh', 'tapi', 'pelanggan', '']","['karens', 'diner', 'indonesia', 'pelayan', 'aneh', 'pelanggan', '']","['karens', 'diner', 'indonesia', 'pelayan', 'aneh', 'pelanggan', '']","['karens', 'diner', 'indonesia', 'layan', 'aneh', 'langgan', '']"
kalau ada karens diner di kuala lumpur mau coba karena menarik,1,"['kalau', 'ada', 'karens', 'diner', 'di', 'kuala', 'lumpur', 'mau', 'coba', 'karena', 'menarik']","['karens', 'diner', 'kuala', 'lumpur', 'coba', 'menarik']","['karens', 'diner', 'kuala', 'lumpur', 'coba', 'menarik']","['karens', 'diner', 'kuala', 'lumpur', 'coba', 'tarik']"
karens diner tidak cocok di indonesia  yang cocok omongan jahat tetangga ,0,"['karens', 'diner', 'tidak', 'cocok', 'di', 'indonesia', 'yang', 'cocok', 'omongan', 'jahat', 'tetangga', '']","['karens', 'diner', 'cocok', 'indonesia', 'cocok', 'omongan', 'jahat', 'tetangga', '']","['karens', 'diner', 'cocok', 'indonesia', 'cocok', 'omongan', 'jahat', 'tetangga', '']","['karens', 'diner', 'cocok', 'indonesia', 'cocok', 'omong', 'jahat', 'tetangga', '']"
karens diner sesungguhnya luarbiasa,1,"['karens', 'diner', 'sesungguhnya', 'luarbiasa']","['karens', 'diner', 'sesungguhnya', 'luarbiasa']","['karens', 'diner', 'sesungguhnya', 'luarbiasa']","['karens', 'diner', 'sungguh', 'luarbiasa']"
tidak perlu ke karens diner ke diklat pelayanan menyebabkan kita emosi,0,"['tidak', 'perlu', 'ke', 'karens', 'diner', 'ke', 'diklat', 'pelayanan', 'menyebabkan', 'kita', 'emosi']","['karens', 'diner', 'diklat', 'pelayanan', 'menyebabkan', 'emosi']","['karens', 'diner', 'diklat', 'pelayanan', 'menyebabkan', 'emosi']","['karens', 'diner', 'diklat', 'layan', 'sebab', 'emosi']"
karens diner aussie pelanggan sopan dengan pelayan,1,"['karens', 'diner', 'aussie', 'pelanggan', 'sopan', 'dengan', 'pelayan']","['karens', 'diner', 'aussie', 'pelanggan', 'sopan', 'pelayan']","['karens', 'diner', 'aussie', 'pelanggan', 'sopan', 'pelayan']","['karens', 'diner', 'aussie', 'langgan', 'sopan', 'layan']"
lihat video karens diner di tiktok takut tapi aku lebih takut cetak stiker di percetakan offline ,0,"['lihat', 'video', 'karens', 'diner', 'di', 'tiktok', 'takut', 'tapi', 'aku', 'lebih', 'takut', 'cetak', 'stiker', 'di', 'percetakan', 'offline', '']","['lihat', 'video', 'karens', 'diner', 'tiktok', 'takut', 'takut', 'cetak', 'stiker', 'percetakan', 'offline', '']","['lihat', 'video', 'karens', 'diner', 'tiktok', 'takut', 'takut', 'cetak', 'stiker', 'percetakan', 'offline', '']","['lihat', 'video', 'karens', 'diner', 'tiktok', 'takut', 'takut', 'cetak', 'stiker', 'cetak', 'offline', '']"
karens diner sama mulut mama aku lebih pemarah,0,"['karens', 'diner', 'sama', 'mulut', 'mama', 'aku', 'lebih', 'pemarah']","['karens', 'diner', 'mulut', 'mama', 'pemarah']","['karens', 'diner', 'mulut', 'mama', 'pemarah']","['karens', 'diner', 'mulut', 'mama', 'marah']"
karyawan karens diner layan tidak sopan,1,"['karyawan', 'karens', 'diner', 'layan', 'tidak', 'sopan']","['karyawan', 'karens', 'diner', 'layan', 'sopan']","['karyawan', 'karens', 'diner', 'layan', 'sopan']","['karyawan', 'karens', 'diner', 'layan', 'sopan']"
konsepnya karens diner menarik,1,"['konsepnya', 'karens', 'diner', 'menarik']","['konsepnya', 'karens', 'diner', 'menarik']","['konsepnya', 'karens', 'diner', 'menarik']","['konsep', 'karens', 'diner', 'tarik']"
ke karens diner pelayan marah tidak kaget tapi ke rumah sakit dilayani seperti itu malah kaget,0,"['ke', 'karens', 'diner', 'pelayan', 'marah', 'tidak', 'kaget', 'tapi', 'ke', 'rumah', 'sakit', 'dilayani', 'seperti', 'itu', 'malah', 'kaget']","['karens', 'diner', 'pelayan', 'marah', 'kaget', 'rumah', 'sakit', 'dilayani', 'kaget']","['karens', 'diner', 'pelayan', 'marah', 'kaget', 'rumah', 'sakit', 'dilayani', 'kaget']","['karens', 'diner', 'layan', 'marah', 'kaget', 'rumah', 'sakit', 'layan', 'kaget']"
karens diner berarti pelayan pemarah,0,"['karens', 'diner', 'berarti', 'pelayan', 'pemarah']","['karens', 'diner', 'pelayan', 'pemarah']","['karens', 'diner', 'pelayan', 'pemarah']","['karens', 'diner', 'layan', 'marah']"
kamu aku traktir ke karens diner,1,"['kamu', 'aku', 'traktir', 'ke', 'karens', 'diner']","['traktir', 'karens', 'diner']","['traktir', 'karens', 'diner']","['traktir', 'karens', 'diner']"
karens diner harus lucu menaggapi pelanggan,1,"['karens', 'diner', 'harus', 'lucu', 'menaggapi', 'pelanggan']","['karens', 'diner', 'lucu', 'menaggapi', 'pelanggan']","['karens', 'diner', 'lucu', 'menaggapi', 'pelanggan']","['karens', 'diner', 'lucu', 'menaggapi', 'langgan']"
karens diner bukan budaya kita karena tidak sopan,0,"['karens', 'diner', 'bukan', 'budaya', 'kita', 'karena', 'tidak', 'sopan']","['karens', 'diner', 'budaya', 'sopan']","['karens', 'diner', 'budaya', 'sopan']","['karens', 'diner', 'budaya', 'sopan']"
tidak perlu ke karens diner cukup ke dirmawa fps lebih menakutkan,1,"['tidak', 'perlu', 'ke', 'karens', 'diner', 'cukup', 'ke', 'dirmawa', 'fps', 'lebih', 'menakutkan']","['karens', 'diner', 'dirmawa', 'fps', 'menakutkan']","['karens', 'diner', 'dirmawa', 'fps', 'menakutkan']","['karens', 'diner', 'dirmawa', 'fps', 'takut']"
bikin karens diner baru duduk langsung marah,0,"['bikin', 'karens', 'diner', 'baru', 'duduk', 'langsung', 'marah']","['bikin', 'karens', 'diner', 'duduk', 'langsung', 'marah']","['bikin', 'karens', 'diner', 'duduk', 'langsung', 'marah']","['bikin', 'karens', 'diner', 'duduk', 'langsung', 'marah']"
semua isi beranda aku karens diner jadi pusing ,0,"['semua', 'isi', 'beranda', 'aku', 'karens', 'diner', 'jadi', 'pusing', '']","['isi', 'beranda', 'karens', 'diner', 'pusing', '']","['isi', 'beranda', 'karens', 'diner', 'pusing', '']","['isi', 'beranda', 'karens', 'diner', 'pusing', '']"
diledekin karyawan karens diner manajemen hanya beri pengarahan,0,"['diledekin', 'karyawan', 'karens', 'diner', 'manajemen', 'hanya', 'beri', 'pengarahan']","['diledekin', 'karyawan', 'karens', 'diner', 'manajemen', 'pengarahan']","['diledekin', 'karyawan', 'karens', 'diner', 'manajemen', 'pengarahan']","['diledekin', 'karyawan', 'karens', 'diner', 'manajemen', 'arah']"
pelopor karens diner indonesia keren,1,"['pelopor', 'karens', 'diner', 'indonesia', 'keren']","['pelopor', 'karens', 'diner', 'indonesia', 'keren']","['pelopor', 'karens', 'diner', 'indonesia', 'keren']","['pelopor', 'karens', 'diner', 'indonesia', 'keren']"
sudah cocok jadi pelayan karens diner,1,"['sudah', 'cocok', 'jadi', 'pelayan', 'karens', 'diner']","['cocok', 'pelayan', 'karens', 'diner']","['cocok', 'pelayan', 'karens', 'diner']","['cocok', 'layan', 'karens', 'diner']"
bonus kandidat pelamar untuk karens diner ,1,"['bonus', 'kandidat', 'pelamar', 'untuk', 'karens', 'diner', '']","['bonus', 'kandidat', 'pelamar', 'karens', 'diner', '']","['bonus', 'kandidat', 'pelamar', 'karens', 'diner', '']","['bonus', 'kandidat', 'lamar', 'karens', 'diner', '']"
karens diner hanya membuat kita emosi,0,"['karens', 'diner', 'hanya', 'membuat', 'kita', 'emosi']","['karens', 'diner', 'emosi']","['karens', 'diner', 'emosi']","['karens', 'diner', 'emosi']"
karens diner indonesia sudah melenceng maksimal pelayan pasang muka marah ,0,"['karens', 'diner', 'indonesia', 'sudah', 'melenceng', 'maksimal', 'pelayan', 'pasang', 'muka', 'marah', '']","['karens', 'diner', 'indonesia', 'melenceng', 'maksimal', 'pelayan', 'pasang', 'muka', 'marah', '']","['karens', 'diner', 'indonesia', 'melenceng', 'maksimal', 'pelayan', 'pasang', 'muka', 'marah', '']","['karens', 'diner', 'indonesia', 'lenceng', 'maksimal', 'layan', 'pasang', 'muka', 'marah', '']"
